date,coin,price,volume,market_cap
2025-04-20T00:00:00Z,ETHEREUM,1615.0502549158562,5148626529.402773,194945047366.35382
2025-04-21T00:00:00Z,ETHEREUM,1585.4600253443446,6695768150.024456,191374869502.39386
2025-04-22T00:00:00Z,ETHEREUM,1577.4465595922347,15275062279.387148,190376888818.46906
2025-04-23T00:00:00Z,ETHEREUM,1759.7064599311093,24271980430.95098,212582611840.14056
2025-04-24T00:00:00Z,ETHEREUM,1793.969849485534,22099177230.61867,216572719914.54987
2025-04-25T00:00:00Z,ETHEREUM,1769.3925107354407,12923295609.972548,213593284213.58224
2025-04-26T00:00:00Z,ETHEREUM,1788.7981804331257,15656748328.784924,215954892518.00418
2025-04-27T00:00:00Z,ETHEREUM,1821.2695303291391,10293614895.776522,219830529458.7114
2025-04-28T00:00:00Z,ETHEREUM,1793.6918440730135,9632458065.106846,216533502206.27112
2025-04-29T00:00:00Z,ETHEREUM,1799.50191449199,16777384305.88931,217264115049.6792
2025-04-30T00:00:00Z,ETHEREUM,1796.9720456768928,13994558644.11867,216596941729.71945
2025-05-01T00:00:00Z,ETHEREUM,1794.0495408617828,13644627083.285889,216623334477.08453
2025-05-02T00:00:00Z,ETHEREUM,1838.8543285925753,14310565589.052694,221969602979.55032
2025-05-03T00:00:00Z,ETHEREUM,1841.427590836958,11686301446.49476,222269022299.2824
2025-05-04T00:00:00Z,ETHEREUM,1834.501911876416,6704990478.824657,221494950784.02625
2025-05-05T00:00:00Z,ETHEREUM,1808.156093844096,7479845748.828526,218216268630.8664
2025-05-06T00:00:00Z,ETHEREUM,1820.0044598893596,10545233503.347864,219769896301.20087
2025-05-07T00:00:00Z,ETHEREUM,1816.1686943818438,11950393736.527246,219305875804.55966
2025-05-08T00:00:00Z,ETHEREUM,1810.3169269284476,47111217119.49919,218569578701.42172
2025-05-09T00:00:00Z,ETHEREUM,2197.5611893238784,35992825075.05399,264994998215.9445
2025-05-10T00:00:00Z,ETHEREUM,2341.407963002621,44566779461.54657,282636716534.08844
2025-05-11T00:00:00Z,ETHEREUM,2583.6829051429513,29947910159.02891,312095621694.1442
2025-05-12T00:00:00Z,ETHEREUM,2507.4693107597423,26138286410.23315,302727255563.5134
2025-05-13T00:00:00Z,ETHEREUM,2492.426391077375,31524626114.978752,300976824863.0343
2025-05-14T00:00:00Z,ETHEREUM,2676.639163127913,32279895881.637806,322977150438.36176
2025-05-15T00:00:00Z,ETHEREUM,2603.7180887199615,28150234190.931705,314022060127.0501
2025-05-16T00:00:00Z,ETHEREUM,2542.296692466797,26211434557.7159,306933361055.9317
2025-05-17T00:00:00Z,ETHEREUM,2544.3870377235667,21130441534.96637,307619694635.7725
2025-05-18T00:00:00Z,ETHEREUM,2475.0543933696913,17185510890.702347,298789831687.0011
2025-05-19T00:00:00Z,ETHEREUM,2465.3409856139087,24797434472.364086,296863390804.2497
2025-05-20T00:00:00Z,ETHEREUM,2526.989643891319,25363871274.82505,305077067863.0779
2025-05-21T00:00:00Z,ETHEREUM,2524.2743433146065,22871462735.416794,304737250158.37354
2025-05-22T00:00:00Z,ETHEREUM,2558.9502343769486,32697477527.54695,308934701949.7151
2025-05-23T00:00:00Z,ETHEREUM,2657.1674447566115,29592612076.505535,320733890913.39886
2025-05-24T00:00:00Z,ETHEREUM,2519.813809045145,30047329191.503662,304038733414.03973
2025-05-25T00:00:00Z,ETHEREUM,2529.4429842284353,10744994421.192684,305369227833.4215
2025-05-26T00:00:00Z,ETHEREUM,2546.6201163370915,13814697849.726278,307423642894.0653
2025-05-27T00:00:00Z,ETHEREUM,2562.1729286392238,13350148034.293623,309319360637.78375
2025-05-28T00:00:00Z,ETHEREUM,2662.0940568241435,26434151855.253853,321357595434.52185
2025-05-29T00:00:00Z,ETHEREUM,2676.2674124507,18008588586.284103,323119009777.13904
2025-05-30T00:00:00Z,ETHEREUM,2633.1392065286695,27021441335.5195,317891224562.8813
2025-05-31T00:00:00Z,ETHEREUM,2524.4762348050726,22927149330.30469,304659964725.2192
2025-06-01T00:00:00Z,ETHEREUM,2532.3627853090866,13006751258.18768,305718505778.76434
2025-06-02T00:00:00Z,ETHEREUM,2538.3300584367485,11338340571.11249,306561765778.2403
2025-06-03T00:00:00Z,ETHEREUM,2609.737253959435,15623967732.418657,314999579353.95825
2025-06-04T00:00:00Z,ETHEREUM,2595.4689570062997,15955008730.338179,313315832347.0171
